,PLAYER_NAME,OVR,POS,PROGRAM,TEAM,HEIGHT,WEIGHT,ARCHETYPE,PRICE,QUICKSELL,QS_CURRENCY,clutch,penalty,lb_style,dl_swim,dl_spin,dl_bull,big_hitter,strips_ball,ball_in_air,high_motor,covers_ball,extra_yards,agg_catch,rac_catch,poss_catch,drops_open,sideline_catch,qb_style,tight_spiral,sense_pressure,throw_away,force_passes,SPD,STR,AGI,ACC,AWA,CTH,JMP,STA,INJ,TRK,ELU,BTK,BCV,SFA,SPM,JKM,CAR,SRR,MRR,DRR,CIT,SPC,RLS,THP,SAC,MAC,DAC,RUN,TUP,BSK,PAC,RBK,RBP,RBF,PBK,PBP,PBF,LBK,IBL,TAK,POW,PMV,FMV,BSH,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,RET
10,DeAndre Hopkins,96,WR,Team of the Year,Houston Texans,"6' 1""",215,Physical (WR),361000,"34,900",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,92,78,92,93,95,95,98,98,96,53,77,83,91,77,81,89,79,92,91,90,95,95,95,26,10,10,10,10,13,12,10,48,32,30,39,22,20,24,44,32,25,20,22,35,20,18,22,25,30,10,10,67
11,Patrick Ricard,95,FB,Team of the Year,Baltimore Ravens,"6' 3""",311,Blocking (FB),276000,"25,200",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Medium Hitters,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,75,94,79,85,95,66,84,89,82,82,70,75,54,80,74,69,80,58,44,36,53,47,43,14,10,10,10,10,10,10,10,88,79,76,80,61,57,98,95,69,67,63,56,62,57,49,43,48,26,10,10,17
12,Luke Kuechly,97,MLB,M20 Tribute,Carolina Panthers,"6' 3""",238,Field General (MLB),578000,"250,000",Coins,Yes,Disciplined,Balanced,N/A,N/A,N/A,Yes,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,85,86,92,98,78,93,99,92,44,20,10,36,39,25,35,60,10,10,10,48,43,10,16,10,10,10,10,10,10,10,35,35,35,35,35,35,18,92,96,94,64,55,89,97,98,70,83,51,12,14,16
13,Peyton Manning,95,QB,NFL 100,Indianapolis Colts,"6' 5""",230,Field General (QB),300000,"25,200",Training,Yes,Disciplined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,67,59,63,69,96,26,54,95,94,17,20,27,48,22,24,35,59,15,,15,15,15,15,91,95,94,91,81,93,48,96,27,27,27,25,25,25,27,27,28,15,10,10,26,33,17,12,22,10,23,24,10
14,Richard Sherman,95,CB,Zero Chill,San Francisco 49ers,"6' 3""",195,Zone (CB),598000,"250,000",Coins,Yes,Normal,Balanced,N/A,N/A,N/A,No,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,79,95,89,97,78,97,98,96,41,64,54,76,40,65,67,56,29,19,12,61,78,38,10,10,10,10,10,10,10,10,25,25,25,25,25,25,10,55,69,71,31,51,51,78,97,92,97,96,10,10,47
15,Michael Thomas,96,WR,Team of the Year,New Orleans Saints,"6' 3""",212,Physical (WR),341000,"34,900",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,90,76,92,93,98,97,91,98,91,57,76,81,87,81,77,87,80,96,94,90,96,95,94,15,10,10,10,10,12,13,10,49,35,28,37,17,17,22,42,17,10,10,10,12,10,10,10,10,10,13,12,22
16,Antonio Gates,97,TE,M20 Tribute,Los Angeles Chargers,"6' 4""",255,Vertical Threat (TE),648000,"250,000",Coins,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,87,75,91,92,95,97,97,93,95,84,72,78,92,86,86,86,94,90,86,85,96,94,93,16,10,10,10,10,10,10,10,70,69,66,73,72,71,60,75,34,10,10,10,43,25,11,10,14,10,10,10,19
17,Drew Brees,95,QB,NFL Playoffs,New Orleans Saints,"5' 11""",209,Field General (QB),255000,"25,200",Training,Yes,Disciplined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,69,54,69,73,97,28,76,96,98,17,28,31,48,22,40,65,61,10,10,10,10,10,10,89,97,94,90,82,92,37,95,11,10,10,15,10,10,10,16,16,10,10,10,16,15,22,10,11,10,11,10,10
18,Khalil Mack,95,LOLB,Ghosts of Madden - Present,Chicago Bears,"6' 3""",252,Power Rusher (OLB),640000,"250,000",Coins,Yes,Normal,Balanced,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,88,87,88,95,58,93,94,96,45,36,21,45,39,50,44,50,10,10,10,50,48,15,23,10,10,10,10,10,10,10,35,35,35,35,35,35,18,89,89,87,94,90,91,92,95,45,55,42,14,12,14
19,Tom Brady,95,QB,NFL 100,New England Patriots,"6' 4""",225,Field General (QB),Unknown,"25,200",Training,Yes,Disciplined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,62,63,71,68,95,29,48,97,97,16,33,27,47,23,31,48,62,10,10,10,10,20,10,92,97,94,89,79,90,60,94,15,10,10,10,10,10,14,24,23,10,10,10,23,20,10,10,10,10,10,10,10
20,George Kittle,96,TE,Team of the Year,San Francisco 49ers,"6' 4""",247,Vertical Threat (TE),366000,"34,900",Training,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,88,80,84,89,98,95,91,89,88,82,73,76,89,80,66,80,86,88,86,82,88,90,87,21,10,10,10,10,10,10,10,87,85,80,66,64,60,70,82,24,28,10,10,21,26,25,10,14,10,10,12,18
21,Michael Vick,96,QB,Ghosts of Madden - Past,Atlanta Falcons,"6' 0""",215,Scrambler (QB),400000,"34,900",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket,Yes,N/A,No,Aggressive,93,63,95,95,94,65,87,92,87,36,88,84,93,61,86,92,66,35,,20,25,45,34,96,89,86,91,95,90,96,88,24,10,10,19,10,10,10,24,31,12,10,10,31,40,25,18,16,10,19,22,35
22,Brandin Cooks,95,WR,Master,Los Angeles Rams,"5' 10""",183,Deep Threat (WR),525000,"25,200",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,94,53,94,91,93,96,86,92,91,43,86,76,94,46,76,80,80,94,90,94,89,91,86,25,10,10,10,10,10,12,10,48,35,29,30,18,18,18,38,15,10,10,10,22,24,14,10,15,10,11,10,87
23,Rob Gronkowski,95,TE,Zero Chill,New England Patriots,"6' 6""",265,Possession (TE),341000,"25,200",Training,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,86,87,83,85,86,93,83,90,80,89,59,87,77,90,66,71,84,87,84,82,94,93,90,27,15,10,6,10,15,16,6,79,80,75,75,77,74,76,82,20,25,10,10,43,26,22,12,17,25,21,20,13
24,Peyton Manning,95,QB,NFL 100,Indianapolis Colts,"6' 5""",230,Field General (QB),Unknown,"25,200",Training,Yes,Disciplined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,67,59,63,69,96,26,54,95,94,17,20,27,48,22,24,35,59,15,,15,15,15,15,91,95,94,91,81,93,48,96,27,27,27,25,25,25,27,27,28,15,10,10,26,33,17,12,22,10,23,24,10
25,Nick Chubb,96,HB,Team of the Year,Cleveland Browns,"5' 11""",227,Powerback (HB),339000,"34,900",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Big Hitters,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,92,87,86,93,93,70,93,88,88,95,82,94,94,90,80,91,97,52,46,39,61,63,48,17,15,10,10,10,10,18,10,35,32,28,48,37,23,35,33,19,25,10,10,19,25,10,10,10,10,10,10,33
26,Jason Sehorn,96,CB,Legends,New York Giants,"6' 2""",213,Slot (CB),639000,"250,000",Coins,No,Normal,Balanced,N/A,N/A,N/A,No,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,75,92,93,92,70,91,93,88,41,68,60,75,42,53,63,73,20,10,10,68,75,15,30,15,10,10,15,18,10,15,35,35,35,35,35,35,13,54,75,79,48,52,60,88,92,94,88,93,20,15,52
27,Davante Adams,95,WR,NFL Playoffs,Green Bay Packers,"6' 1""",215,Route Running (WR),257000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,90,63,90,92,95,92,93,91,93,62,80,79,88,74,80,87,80,93,91,91,94,92,97,21,10,10,10,10,10,12,10,47,18,18,36,18,18,23,43,32,10,10,10,42,34,16,10,14,15,15,20,43
28,Daniel Jones,95,QB,Ghosts of Madden - Future,New York Giants,"6' 5""",221,Field General (QB),323000,"250,000",Coins,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket,Yes,N/A,No,Aggressive,85,69,85,88,94,28,82,92,89,56,65,62,82,41,51,59,61,10,10,10,10,11,10,92,96,91,91,92,92,77,91,10,10,10,10,10,10,10,14,14,10,10,10,12,21,10,10,10,10,50,39,10
29,Jerry Rice,95,WR,NFL 100,San Francisco 49ers,"6' 2""",200,Route Running (WR),Unknown,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Always,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,91,60,91,91,94,95,89,95,95,56,90,88,91,70,86,89,87,94,93,88,92,91,90,66,37,35,29,10,24,27,5,53,41,45,43,39,41,43,49,38,15,10,10,29,35,32,25,35,15,28,27,73
30,Jon Runyan,96,RT,Legends,Philadelphia Eagles,"6' 7""",330,Power (OT),410000,"250,000",Coins,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,95,57,76,94,29,49,91,96,31,18,18,24,33,14,19,40,25,20,15,19,24,17,31,15,10,5,13,14,22,10,95,95,93,92,94,89,90,95,30,34,28,14,30,36,26,14,20,10,27,15,10
31,Dee Ford,95,LE,NFL Playoffs,San Francisco 49ers,"6' 2""",252,Smaller Speed Rusher (DE),269000,"25,200",Training,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,85,88,87,91,43,86,87,87,18,26,11,22,25,50,30,40,10,10,10,18,18,20,16,10,10,10,10,10,10,10,35,35,35,35,35,35,10,84,88,83,90,96,74,91,91,54,65,18,10,10,16
32,Patrick Willis,96,MLB,Ghosts of Madden - Past,San Francisco 49ers,"6' 1""",242,Field General (MLB),528000,"34,900",Training,Yes,Disciplined,Balanced,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,89,91,91,93,63,91,95,92,30,28,39,54,60,30,35,66,15,,15,46,47,15,30,15,10,5,6,12,28,6,45,45,45,45,45,45,31,91,93,94,68,73,90,95,93,70,79,62,20,16,14
33,John Randle,95,DT,Ghosts of Madden - Past,Minnesota Vikings,"6' 1""",290,Speed Rusher (DT),410000,"25,200",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,90,75,89,91,31,73,92,94,55,40,40,65,65,35,33,65,10,10,10,13,21,15,16,5,5,5,5,20,15,5,45,25,25,45,25,25,25,86,88,87,90,95,91,94,91,31,41,31,31,18,12
34,Calvin Johnson,95,FS,Out of Position,Detroit Lions,"6' 5""",236,Zone (FS/SS),261000,"25,200",Training,Yes,Disciplined,Balanced,N/A,N/A,N/A,No,No,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,77,90,90,92,82,95,92,90,72,83,83,87,85,84,79,78,86,84,88,80,81,89,35,15,10,6,10,16,44,6,50,47,46,33,38,29,30,69,86,87,48,52,70,89,92,80,94,73,14,11,46
35,Champ Bailey,96,CB,NFL Playoffs,Denver Broncos,"6' 0""",192,Man-to-Man (CB),404000,"34,900",Training,Yes,Normal,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,59,95,94,92,79,90,95,89,48,75,75,90,45,90,95,64,60,,60,59,78,52,29,5,5,5,5,23,25,5,45,25,25,45,25,25,25,48,75,58,36,56,48,77,92,96,91,90,19,19,86
36,Marshawn Lynch,95,HB,NFL Playoffs,Seattle Seahawks,"5' 11""",215,Powerback (HB),255000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace Against Medium Hitters,N/A,No,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A,90,87,88,92,90,65,87,91,90,96,82,95,89,93,79,86,94,53,47,40,58,47,46,10,25,20,10,10,10,10,10,39,28,17,60,46,25,49,51,29,10,10,10,19,30,10,10,10,10,12,10,32
37,Chris Godwin,96,WR,Team of the Year,Tampa Bay Buccaneers,"6' 1""",205,Deep Threat (WR),342000,"34,900",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,92,73,89,93,93,96,90,94,98,84,84,83,88,68,78,86,80,92,95,93,94,94,93,24,10,10,10,10,14,12,10,55,24,21,58,21,21,24,44,17,23,10,10,18,22,10,10,15,10,15,11,50
38,Kevin Mawae,95,C,Ghosts of Madden - Past,New York Jets,"6' 4""",289,Power (C),400000,"25,200",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,92,70,82,94,22,54,93,92,10,17,17,10,10,10,10,40,15,,15,15,15,15,29,5,5,5,5,20,17,5,94,94,93,92,91,91,95,90,22,20,10,10,22,29,24,14,24,10,24,15,10
39,J.J. Watt,95,LE,Ghosts of Madden - Present,Houston Texans,"6' 5""",288,Power Rusher (DE),290000,"25,200",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,96,84,82,95,73,86,94,82,50,22,12,45,39,23,25,57,44,33,27,65,66,52,11,10,10,10,10,10,10,10,35,35,35,35,35,35,14,93,95,87,92,91,89,92,95,18,24,14,10,10,14
40,Terrell Owens,96,WR,NFL Playoffs,San Francisco 49ers,"6' 3""",224,Physical (WR),420000,"34,900",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace For All Hits,N/A,Yes,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,93,81,92,93,90,94,94,93,92,79,86,94,92,92,83,86,87,92,90,91,96,94,95,35,15,10,5,10,23,25,5,59,58,55,50,53,45,56,57,32,15,10,10,42,44,26,18,24,25,33,15,55
41,Budda Baker,95,FS,Signature Series,Arizona Cardinals,"5' 10""",195,Run Support (FS/SS),325000,"250,000",Coins,No,Normal,Balanced,N/A,N/A,N/A,No,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,75,94,92,94,77,84,97,91,26,62,47,66,26,62,71,62,41,31,26,69,73,37,16,10,10,10,10,10,17,10,25,25,25,25,25,25,13,74,88,94,42,51,78,98,94,86,80,78,10,10,68
42,Minkah Fitzpatrick,96,FS,Team of the Year,Pittsburgh Steelers,"6' 1""",201,Hybrid (FS/SS),344000,"34,900",Training,No,N/A,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,67,95,96,97,79,86,96,97,29,54,47,57,26,54,62,56,18,13,10,69,72,19,10,10,10,10,10,10,10,10,25,25,25,25,25,25,10,66,75,89,45,57,65,91,97,92,94,83,10,10,72
43,Rob Ninkovich,95,LE,Legends,New England Patriots,"6' 2""",260,Power Rusher (DE),257000,"25,200",Training,N/A,Disciplined,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,93,84,87,95,55,72,94,92,36,31,29,30,38,28,33,43,20,15,10,46,43,16,28,20,15,10,15,15,15,6,45,45,45,45,45,45,20,89,93,90,92,80,90,91,95,62,76,52,12,13,15
44,Steve Largent,95,WR,NFL 100,Seattle Seahawks,"5' 11""",187,Route Running (WR),295000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Always,N/A,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,89,56,91,91,95,95,86,94,94,49,83,76,80,55,80,85,85,93,94,92,93,91,83,35,15,10,5,10,16,20,5,42,41,43,41,37,34,45,43,43,15,10,10,45,45,23,29,14,15,17,19,68
45,Larry Fitzgerald,95,WR,NFL 100,Arizona Cardinals,"6' 3""",218,Physical (WR),280000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,90,78,92,93,97,94,96,97,97,71,70,73,94,80,82,85,83,93,90,87,95,95,90,17,10,10,10,10,12,12,10,57,46,42,43,38,41,51,71,20,10,10,10,30,32,20,10,10,10,10,10,23
46,Jared Goff,95,QB,Signature Series,Los Angeles Rams,"6' 4""",223,Improvisor (QB),325000,"250,000",Coins,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Trigger Happy,Yes,Ideal,79,65,73,87,96,14,68,94,91,35,57,53,64,34,44,53,56,10,10,10,10,10,10,92,97,94,92,93,91,86,92,10,10,10,10,10,10,10,11,17,10,10,10,11,18,11,10,10,10,11,10,10
47,Jamal Adams,96,SS,Team of the Year,New York Jets,"6' 1""",213,Run Support (FS/SS),390000,"34,900",Training,No,Normal,Cover Lb,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,79,88,91,96,71,80,94,95,35,30,15,45,30,45,55,50,25,15,10,51,61,10,16,10,10,10,10,10,10,10,25,25,25,25,25,25,16,77,88,98,59,46,70,95,96,92,93,70,15,15,32
48,Marvin Harrison,95,WR,Ghosts of Madden - Past,Indianapolis Colts,"6' 0""",175,Route Running (WR),281000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Big Hitters,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,93,49,91,94,94,93,86,95,94,44,89,80,84,52,79,90,70,93,93,92,85,90,87,26,15,10,5,10,16,20,5,34,33,34,31,30,31,34,33,16,15,10,10,16,15,21,23,26,15,19,21,56
49,Jerry Rice,95,WR,NFL 100,San Francisco 49ers,"6' 2""",200,Route Running (WR),300000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Always,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,91,60,91,91,94,95,89,95,95,56,90,88,91,70,86,89,87,94,93,88,92,91,90,66,37,35,29,10,24,27,5,53,41,45,43,39,41,43,49,38,15,10,10,29,35,32,25,35,15,28,27,73
50,Jessie Tuggle,94,MLB,Legends,Atlanta Falcons,"5' 11""",232,Run Stopper (MLB),208000,"18,200",Training,No,Normal,Balanced,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,87,87,88,91,54,84,94,94,33,28,19,36,36,34,41,59,13,5,5,48,47,14,14,6,6,6,6,10,12,6,45,45,45,45,45,45,18,90,94,92,63,58,92,93,91,59,69,42,12,13,13
51,Kevin Byard,95,FS,NFL Playoffs,Tennessee Titans,"5' 11""",212,Zone (FS/SS),289000,"25,200",Training,No,Normal,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,74,90,88,94,79,89,91,91,40,60,45,54,38,50,62,68,12,10,10,47,68,12,35,21,16,26,10,16,10,10,10,24,23,10,24,23,10,59,80,82,48,54,68,91,94,82,97,67,10,10,53
