PLAYER_NAME,OVR,PROGRAM,TEAM,PRICE,AWA,BTK,BSK,PBK,PRC,POS_CB,POS_DT,POS_FB,POS_FS,POS_HB,POS_K,POS_LE,POS_LG,POS_LOLB,POS_LT,POS_MLB,POS_P,POS_QB,POS_RE,POS_RG,POS_ROLB,POS_RT,POS_SS,POS_TE,POS_WR,AWA SQUARED,BTK SQUARED,PBK SQUARED,TAK SQUARED,AGI SQUARED,SPD SQUARED,RT_PBK,HB_PBK,HB_BTK,TE_STR,WR_ACC,WR_CIT,LE_FMV,DT_BSH,DT_PRC,DT_TAK,RE_STR,LOLB_PUR,MLB_POW,MLB_PUR,CB_PRC,CB_MCV,FS_ZCV,K_KAC,P_KAC,Actual,Predicted,Discrepancy
Luke Kuechly,97,M20 Tribute,Carolina Panthers,578000,98.0,10.0,10.0,35.0,98.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9604.0,100.0,1225.0,9216.0,7396.0,7921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,97.0,0.0,0.0,0.0,0.0,0.0,578000.0,532951.3945190248,-45048.60548097524
Peyton Manning,95,NFL 100,Indianapolis Colts,300000,96.0,27.0,48.0,25.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9216.0,729.0,625.0,784.0,3969.0,4489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299999.9999999999,171998.21651401132,-128001.78348598856
Richard Sherman,95,Zero Chill,San Francisco 49ers,598000,97.0,54.0,10.0,25.0,97.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9409.0,2916.0,625.0,4761.0,9025.0,7921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,92.0,0.0,0.0,0.0,597999.9999999997,310344.3774334874,-287655.62256651226
Michael Thomas,96,Team of the Year,New Orleans Saints,341000,98.0,81.0,13.0,37.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9604.0,6561.0,1369.0,289.0,8464.0,8100.0,0.0,0.0,0.0,0.0,93.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341000.0000000003,435640.17755442124,94640.17755442095
Antonio Gates,97,M20 Tribute,Los Angeles Chargers,648000,95.0,78.0,10.0,73.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9025.0,6084.0,5329.0,1156.0,8281.0,7569.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647999.9999999997,417547.2569715483,-230452.74302845134
Drew Brees,95,NFL Playoffs,New Orleans Saints,255000,97.0,31.0,37.0,15.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9409.0,961.0,225.0,256.0,4761.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254999.99999999985,196652.23552395386,-58347.764476045995
Khalil Mack,95,Ghosts of Madden - Present,Chicago Bears,640000,95.0,21.0,10.0,35.0,95.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9025.0,441.0,1225.0,7921.0,7569.0,7569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639999.9999999998,270042.58221287373,-369957.41778712603
George Kittle,96,Team of the Year,San Francisco 49ers,366000,98.0,76.0,10.0,66.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9604.0,5776.0,4356.0,576.0,7056.0,7744.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366000.0000000001,461181.8985783112,95181.89857831108
Michael Vick,96,Ghosts of Madden - Past,Atlanta Falcons,400000,94.0,84.0,96.0,19.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8836.0,7056.0,361.0,961.0,9025.0,8649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0000000002,453928.10546982783,53928.10546982766
Brandin Cooks,95,Master,Los Angeles Rams,525000,93.0,76.0,12.0,30.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8649.0,5776.0,900.0,225.0,8836.0,8836.0,0.0,0.0,0.0,0.0,91.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524999.9999999998,255008.3855431586,-269991.61445684114
Rob Gronkowski,95,Zero Chill,New England Patriots,341000,86.0,87.0,16.0,75.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7396.0,7569.0,5625.0,400.0,6889.0,7396.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341000.0000000003,251930.61575897827,-89069.38424102202
Nick Chubb,96,Team of the Year,Cleveland Browns,339000,93.0,94.0,18.0,48.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8649.0,8836.0,2304.0,361.0,7396.0,8464.0,0.0,48.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338999.9999999998,308451.96702545485,-30548.03297454497
Jason Sehorn,96,Legends,New York Giants,639000,92.0,60.0,10.0,35.0,92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8464.0,3600.0,1225.0,5625.0,8464.0,8649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,94.0,0.0,0.0,0.0,638999.9999999997,284308.17569233617,-354691.8243076635
Davante Adams,95,NFL Playoffs,Green Bay Packers,257000,95.0,79.0,12.0,36.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9025.0,6241.0,1296.0,1024.0,8100.0,8100.0,0.0,0.0,0.0,0.0,92.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256999.9999999998,290304.25232218736,33304.25232218756
Daniel Jones,95,Ghosts of Madden - Future,New York Giants,323000,94.0,62.0,77.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8836.0,3844.0,100.0,196.0,7225.0,7225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323000.0000000002,264343.351693413,-58656.64830658719
Jon Runyan,96,Legends,Philadelphia Eagles,410000,94.0,18.0,22.0,92.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8836.0,324.0,8464.0,900.0,3249.0,4489.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.00000000006,275557.7600252076,-134442.23997479246
Dee Ford,95,NFL Playoffs,San Francisco 49ers,269000,91.0,11.0,10.0,35.0,91.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8281.0,121.0,1225.0,7744.0,7744.0,7396.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269000.0000000002,221323.95641388049,-47676.04358611969
Patrick Willis,96,Ghosts of Madden - Past,San Francisco 49ers,528000,93.0,39.0,28.0,45.0,93.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8649.0,1521.0,2025.0,8649.0,8281.0,8281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,95.0,0.0,0.0,0.0,0.0,0.0,527999.9999999998,303777.69878394203,-224222.30121605773
John Randle,95,Ghosts of Madden - Past,Minnesota Vikings,410000,91.0,40.0,15.0,45.0,91.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8281.0,1600.0,2025.0,7744.0,5625.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.00000000006,199170.64299000497,-210829.3570099951
Calvin Johnson,95,Out of Position,Detroit Lions,261000,92.0,83.0,44.0,33.0,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8464.0,6889.0,1089.0,7396.0,8100.0,8281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,260999.9999999998,311409.3587600068,50409.35876000699
Champ Bailey,96,NFL Playoffs,Denver Broncos,404000,92.0,75.0,25.0,45.0,92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8464.0,5625.0,2025.0,5625.0,9025.0,8836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,96.0,0.0,0.0,0.0,403999.9999999997,337791.0627006192,-66208.93729938049
Marshawn Lynch,95,NFL Playoffs,Seattle Seahawks,255000,90.0,95.0,10.0,60.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0,9025.0,3600.0,841.0,7744.0,8100.0,0.0,60.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254999.99999999985,266983.8958931465,11983.895893146662
Chris Godwin,96,Team of the Year,Tampa Bay Buccaneers,342000,93.0,83.0,12.0,58.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8649.0,6889.0,3364.0,289.0,7921.0,8464.0,0.0,0.0,0.0,0.0,93.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342000.0000000001,289298.6451037858,-52701.354896214325
Kevin Mawae,95,Ghosts of Madden - Past,New York Jets,400000,94.0,17.0,17.0,92.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8836.0,289.0,8464.0,484.0,4900.0,5184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0000000002,211915.67820204422,-188084.32179795596
J.J. Watt,95,Ghosts of Madden - Present,Houston Texans,290000,95.0,12.0,10.0,35.0,95.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9025.0,144.0,1225.0,9025.0,7056.0,5929.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289999.9999999999,260446.30930049694,-29553.690699502942
Terrell Owens,96,NFL Playoffs,San Francisco 49ers,420000,90.0,94.0,25.0,50.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8100.0,8836.0,2500.0,1024.0,8464.0,8649.0,0.0,0.0,0.0,0.0,93.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420000.00000000023,330951.54721687664,-89048.45278312359
Budda Baker,95,Signature Series,Arizona Cardinals,325000,94.0,47.0,17.0,25.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8836.0,2209.0,625.0,7744.0,8836.0,8464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,324999.9999999999,261990.85747153158,-63009.14252846831
Minkah Fitzpatrick,96,Team of the Year,Pittsburgh Steelers,344000,97.0,47.0,10.0,25.0,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9409.0,2209.0,625.0,5625.0,9025.0,8649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,343999.9999999998,381680.3913962317,37680.39139623189
Rob Ninkovich,95,Legends,New England Patriots,257000,95.0,29.0,15.0,45.0,95.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9025.0,841.0,2025.0,8649.0,7056.0,6724.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256999.9999999998,235873.76970457204,-21126.230295427755
Steve Largent,95,NFL 100,Seattle Seahawks,295000,95.0,76.0,20.0,41.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9025.0,5776.0,1681.0,1849.0,8281.0,7921.0,0.0,0.0,0.0,0.0,91.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295000.00000000006,292413.451708879,-2586.5482911210856
Larry Fitzgerald,95,NFL 100,Arizona Cardinals,280000,97.0,73.0,12.0,43.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9409.0,5329.0,1849.0,400.0,8464.0,8100.0,0.0,0.0,0.0,0.0,93.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279999.9999999998,315341.51645813155,35341.51645813172
Jared Goff,95,Signature Series,Los Angeles Rams,325000,96.0,53.0,86.0,10.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9216.0,2809.0,100.0,289.0,5329.0,6241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324999.9999999999,268872.32515858643,-56127.67484141345
Jamal Adams,96,Team of the Year,New York Jets,390000,96.0,15.0,10.0,25.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9216.0,225.0,625.0,7744.0,7744.0,8464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389999.99999999994,316836.52755831665,-73163.47244168329
Marvin Harrison,95,Ghosts of Madden - Past,Indianapolis Colts,281000,94.0,80.0,20.0,31.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8836.0,6400.0,961.0,256.0,8281.0,8649.0,0.0,0.0,0.0,0.0,94.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280999.9999999998,290049.5799501932,9049.57995019335
Jerry Rice,95,NFL 100,San Francisco 49ers,300000,94.0,88.0,27.0,43.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8836.0,7744.0,1849.0,1444.0,8281.0,8281.0,0.0,0.0,0.0,0.0,91.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299999.9999999999,318292.7496041025,18292.74960410263
Jessie Tuggle,94,Legends,Atlanta Falcons,208000,91.0,19.0,12.0,45.0,91.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8281.0,361.0,2025.0,8836.0,7569.0,7744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0,207999.99999999994,168810.741495387,-39189.25850461295
Kevin Byard,95,NFL Playoffs,Tennessee Titans,289000,94.0,45.0,10.0,10.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8836.0,2025.0,100.0,6400.0,8100.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,289000.0,290700.93661331106,1700.9366133110598
Casey Hayward Jr,96,Team of the Year,Los Angeles Chargers,339000,96.0,50.0,10.0,25.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9216.0,2500.0,625.0,4356.0,8836.0,8281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,97.0,0.0,0.0,0.0,338999.9999999998,370247.119406238,31247.1194062382
Corey Dillon,95,Legends,Cincinnati Bengals,247000,93.0,94.0,49.0,61.0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8649.0,8836.0,3721.0,961.0,8100.0,8281.0,0.0,61.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246999.9999999998,400487.19081806607,153487.19081806627
Randy Moss,95,NFL 100,Minnesota Vikings,360000,90.0,78.0,42.0,36.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8100.0,6084.0,1296.0,900.0,8464.0,8836.0,0.0,0.0,0.0,0.0,93.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359999.99999999994,266328.3050198327,-93671.69498016726
Bobby Wagner,95,Legends,Seattle Seahawks,376000,95.0,13.0,10.0,35.0,95.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9025.0,169.0,1225.0,9025.0,7225.0,7744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,376000.0000000003,271847.9947714125,-104152.00522858778
Ahman Green,94,Legends,Green Bay Packers,228000,90.0,92.0,38.0,61.0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0,8464.0,3721.0,1024.0,8281.0,8649.0,0.0,61.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227999.9999999998,266526.6782261926,38526.6782261928
Tre'Davious White,96,Team of the Year,Buffalo Bills,345000,95.0,63.0,30.0,15.0,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9025.0,3969.0,225.0,5329.0,8649.0,8836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,94.0,0.0,0.0,0.0,345000.00000000006,442040.4692698554,97040.46926985536
Julio Jones,95,Ghosts of Madden - Present,Atlanta Falcons,345000,90.0,83.0,12.0,47.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8100.0,6889.0,2209.0,1156.0,8836.0,8464.0,0.0,0.0,0.0,0.0,91.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345000.00000000006,215476.29190166938,-129523.70809833068
Kordell Stewart,95,Out of Position,Pittsburgh Steelers,344000,90.0,90.0,89.0,28.0,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0,8100.0,784.0,1764.0,8649.0,8464.0,0.0,28.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343999.9999999998,251558.8178373501,-92441.18216264973
Tremaine Edmunds,95,NFL Playoffs,Buffalo Bills,256000,91.0,19.0,10.0,35.0,91.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8281.0,361.0,1225.0,9216.0,7744.0,7744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,97.0,0.0,0.0,0.0,0.0,0.0,256000.00000000012,228542.80454000254,-27457.195459997572
Chris Johnson,94,Blitz,Tennessee Titans,311000,86.0,88.0,18.0,50.0,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7396.0,7744.0,2500.0,484.0,8649.0,8836.0,0.0,50.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311000.0000000001,156092.41161902554,-154907.58838097457
Chandler Jones,96,Team of the Year,Arizona Cardinals,337000,96.0,10.0,10.0,35.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9216.0,100.0,1225.0,9025.0,7056.0,6724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336999.9999999999,334359.8604806165,-2640.139519383374
Brandon Brooks,95,NFL Playoffs,Philadelphia Eagles,280000,90.0,10.0,10.0,93.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8100.0,100.0,8649.0,900.0,4761.0,5184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279999.9999999998,160031.84724102402,-119968.1527589758
Demaryius Thomas,95,Legends,Denver Broncos,305000,96.0,75.0,12.0,46.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9216.0,5625.0,2116.0,144.0,8100.0,8281.0,0.0,0.0,0.0,0.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305000.0,269939.0737356763,-35060.9262643237
